Title,Years Exp.,Months Exp.,State,Main Source Of Income?,Employment Status,Marginalized,2018 net income,2019 Salary,Expected 2019 Net Income,Rate - Per hour,Rate - Cent per word,Issues,Miscategorized,Do you believe the game industry should unionize?,Should game writers work with a pre-existing labor organization?,,
Contributing/ Jr. / Associate Game Writer,5,,Florida (FL),No,Part time employee - You work around 1-30 hours a week for one studio on a permanent basis.,Yes,5000,22000,5000,15,,Lack of remote jobs,Yes,Yes,Maybe,,
"Game Writer, Narrative Designer, Quest Designer",5,,California (CA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$70,000",,75000,$75,,"Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs",Yes,Yes,Yes,,
Game Writer,20-25 ,,Illinois (IL),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,17000,,20000,,10,"Low pay, Lack of benefits/healthcare, Delayed/missing payments, Lack of mentorship/training",No,Yes,Maybe,,
Game Writer,2,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,1200,1200,1200,,3.4,"Low pay, Lack of benefits/healthcare, I am allowed to announce on social media that I wrote the content I did, but the game I work on has no ""credits section"" where anyone is formally credited, from writers to artists to producers.",No,Yes,Maybe,,
Journalist,5,,Michigan (MI),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,,,,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training",No,Yes,Maybe,,
"Game Writer, Narrative Designer, Quest Designer",10-15,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,104000,,,90,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments",No,Yes,Maybe,,
Game Writer,2,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,75000,75000,75000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
Game Writer,1,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$5,000","$40,000","$40,000",,,Low pay,No,Yes,Yes,,
"Game Writer, Narrative Designer, Editor",2,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$45,000","$45,000","$47,000",,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training",No,Yes,Maybe,,
Game Writer,1,,New York (NY),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,2300,,5200,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",Yes,Yes,Maybe,,
Narrative Designer,2,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"45,421.58","$54,000","$48,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Editor, Localization",4,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,61700,65000,63000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training, Your work was not credited",No,Yes,Maybe,,
Journalist,4,,Oregon (OR),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,30000,40000,30000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",No,Yes,Yes,,
Journalist,5,,Missouri (MO),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$35,000","$35,000","$35,000",,,Low pay,Yes,Yes,Yes,,
"Game Writer, Editor",,1-6,Oregon (OR),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,21000,,48000,40,,"Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",No,Yes,Maybe,,
Journalist,8,,Pennsylvania (PA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$35,000",,"$35,000",,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs",Maybe,Yes,Yes,,
"Game Writer, Editor, Localization",5,,Louisiana (LA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$12,000",,"$35,000",,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training",No,Yes,Maybe,,
Critic,6,,Nebraska (NE),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,4800,,7200,30,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
Game Writer,10-15,,District of Columbia (DC),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,"55,000","85,000","60,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training, Your work was not credited, Sexism, Harassment",Yes,Yes,Maybe,,
Localization,10-15,,I wish not to answer.,Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,47000,,50000,,8,"Crunch (working over 40 hours a week), Lack of benefits/healthcare, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Maybe,Yes,Maybe,,
Narrative Designer,4,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,85000,100000,100000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Your work was not credited",No,Yes,Yes,,
"Game Writer, Editor, Localization",4,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,0,66560,73216,32,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training, Your work was not credited, Low vacation accrual",No,Yes,Maybe,,
Localization,4,,Oregon (OR),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$32,000",,"$53,000",,4,"Low pay, Lack of benefits/healthcare",No,Yes,Maybe,,
"Game Writer, Narrative Designer",10-15,,Washington (WA),No,"Full time executive - You run a company/studio as a writer, narrative lead, editor, etc. (with hiring power) for 35 or more hours per week",No,25,,100,3,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments",No,Yes,Maybe,,
Tabletop RPG Game Writer: Mechanics and Fiction depending on contract,5,,Florida (FL),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,$397.50,,"$2,433.07",9.23,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments",Maybe,Yes,Yes,,
"Game Writer, Narrative Designer",15-20 ,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,45500,,48000,50,,"Low pay, Your work was not credited",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer, Narrative Designer, Quest Designer",10-15,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"70,000","70,000","70,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of remote jobs, Lack of mentorship/training",No,Yes,No,,
Narrative Designer,5,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,76500,85000,85000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training, Your work was not credited",No,Yes,Maybe,,
Game Writer,25+ ,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,30000,38000,31000,,11,"Low pay, Lack of benefits/healthcare, Delayed/missing payments",No,Yes,Maybe,,
Game Writer,1 - 6,,New York (NY),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,$500,,"$4,500","$4,500",,Lack of mentorship/training,No,Yes,Maybe,,
"Journalist, critic/curator/academic",5,,Pennsylvania (PA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,2500,,"$2,500",$20,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Delayed/missing payments",No,Yes,Maybe,,
"Game Writer, Narrative Designer",6,,California (CA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,105000,,85000,40,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",Maybe,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer, Narrative Designer",3,,I wish not to answer.,Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"43,000","44,300","43,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of relocation assistance",No,Yes,Maybe,,
Narrative Designer,7,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"60,000","95,000","70,000",100,,"Unpaid over-time, Lack of mentorship/training, Your work was not credited",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
Localization,8,,Georgia (GA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,135000,128000,98000,35,,You have not personally experienced any major issues as a game writer,No,No,No,,
"Game Writer, Narrative Designer, Quest Designer",6,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,75000,70000,75000,40,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,No,,
"Narrative Designer, Currently Unemployed (if so, also mark your past title)",15-20 ,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$84,643",,,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Your work was not credited",No,Yes,Yes,,
Journalist,6,,Texas (TX),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,"23,000",,"15,000",$25,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",No,Yes,Yes,,
"Game Writer, Narrative Designer, Editor, Localization",6,,Washington (WA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,"$74,000",,"$55,000",$50,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",No,Yes,No - We should form a union for all game developers,,
"Game Writer, Narrative Designer",3,,Washington (WA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"36,000",,"20,000",30,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Your work was not credited",Maybe,Yes,Maybe,,
"Game Writer, Narrative Designer, Quest Designer",2,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$12,000",,"$4,500",$90,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs",No,Yes,Maybe,,
"Game Writer, Contributing/ Jr. / Associate Game Writer, Currently Unemployed (if so, also mark your past title), Freelance game writer",1,,Virginia (VA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,,,15,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Your work was not credited",Yes,Maybe,No - We should form a union for all game developers,,
"Game Writer, Narrative Designer",4,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"60,000",,"70,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare",Yes,Yes,Yes,,
"Game Writer, Narrative Designer",10-15,,Washington (WA),No,Part time employee - You work around 1-30 hours a week for one studio on a permanent basis.,No,,,,35,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training",Maybe,Yes,Yes,,
Journalist,25+ ,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$80,000","$80,000","$80,000",,,"Frequent job instability (due to lay-offs, contract status, etc.)",Yes,Yes,Yes,,
"Game Writer, Editor, Localization",3,,I wish not to answer.,No,Part time executive - You run a company/studio as a writer around 1-30 hours a week,Yes,"$2,700",,"$2,100",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments",Yes,Maybe,Maybe,,
"Game Writer, Editor, Localization",8,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"90,000",95000,95000,75,,"Unpaid over-time, Lack of relocation assistance, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
Game Writer,8,,Washington (WA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,"70,000","62,500","62,500",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",No,Yes,Maybe,,
Narrative Designer,4,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,70000,70000,70000,,,"Crunch (working over 40 hours a week), Lack of remote jobs",No,Yes,Yes,,
Editor,6,,I wish not to answer.,No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,"$13,000",,"$13,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments",Maybe,Yes,Maybe,,
"Game Writer, Editor, Journalist, Currently Unemployed (if so, also mark your past title)",6,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"4,500",,0,20,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",No,Yes,No - We should form a union for all game developers,,
"Game Writer, Contributing/ Jr. / Associate Game Writer, Narrative Designer, Quest Designer, Currently Unemployed (if so, also mark your past title)",2,,Tennessee (TN),No,Part time employee - You work around 1-30 hours a week for one studio on a permanent basis.,Yes,0,,,30,,"Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance",No,Yes,No - We should form a union for all game developers,,
"Game Writer, 'Marketing Associate'",6,,Colorado (CO),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,0,40000,40000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of mentorship/training, Your work was not credited",Yes,Yes,Maybe,,
"Game Writer, Narrative Designer, Quest Designer",4,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,"$20,000",,75000,50,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Your work was not credited",Maybe,Yes,"WGA is powerful,  ive worked with them and they protect writers like no other union.  Animation Guild is very very weak comparatively,  they haven't done nearly as much.  Heck,  they never even got tv animation writers residuals which should be basic foundational stuff.",,
Game Writer,20-25 ,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,78000,82000,78000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited, Feedback that bordered on harassment (none of these issues at current job btw) ",Maybe,Yes,No - We should form a union for all game developers,,
Game Writer,6,,Maryland (MD),No,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,,,,,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Lack of remote jobs",Yes,Maybe,No - We should form a union for all game developers,,
"Quest Designer, Currently Unemployed (if so, also mark your past title)",9,,Texas (TX),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,61500,,50000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",No,Yes,Maybe,,
"Contributing/ Jr. / Associate Game Writer, Editor",2,,Maryland (MD),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,,,30,,"Lack of benefits/healthcare, Lack of remote jobs",No,Yes,Yes,,
Game Writer,2,,Illinois (IL),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,300,,"$3,000",25,,"Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Too many unpaid internships ",No,Maybe,Maybe,,
"Game Writer, Narrative Designer",2,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"50,293","70,000","50,757",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",No,Yes,No - We should form a union for all game developers,,
"Game Writer, Narrative Designer",2,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$33,000","$45,000","$50,000",,,"Crunch (working over 40 hours a week), Low pay, Lack of mentorship/training",No,Yes,No - We should form a union for all game developers,,
"Game Writer, Narrative Designer",2,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$29,000","$44,000","$29,000",,,"Crunch (working over 40 hours a week), Low pay",No,Yes,Maybe,,
Game Writer,8,,Pennsylvania (PA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,"$73,000",$35,"$73,000",35,,"Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, No PTO, so if I get sick, I lose money.",No,Yes,Maybe,,
Game Writer,10-15,,I wish not to answer.,Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,40000,40000,40000,,,Lack of mentorship/training,Yes,Yes,Yes,,
"Game Writer, I also cast and direct actors and do other design work",10-15,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$310,000","240,000","510,000",200,,"Crunch (working over 40 hours a week), Unpaid over-time, You have not personally experienced any major issues as a game writer, Your work was not credited",No,No,"No - if unions are created, it should be on an indivisible studio basis - each studio is its own unique situation and unions should be created to tackle the specific problems of that studio/publisher",,
Narrative Designer,5,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"25,000","80,000","80,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments",No,Yes,Maybe,,
"Game Writer, Narrative Designer",10-15,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,"40,000",,"40,000",115,,"Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",No,Maybe,Maybe,,
Game Writer,25+ ,,Wisconsin (WI),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,0,,,100,,"Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Your work was not credited",No,Yes,No - We should form a union for all game developers,,
Quest Designer,,1 - 6,Illinois (IL),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,0,,32000,16,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare",Maybe,Yes,"don't know enough about them to say, but a pre existing infrastructure can't hurt. ",,
Game Writer,1,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$4,000",,"$9,000",,,"Low pay, Frequent job instability (due to lay-offs, contract status, etc.)",Maybe,Yes,Maybe,,
"Game Writer, Narrative Designer, Editor, Localization",3,,Massachusetts (MA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,55000,30000,"30,000",28,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,Maybe,,
